,User Address,MARS Airdrop
37183,terra1ye8ynjqlux4f2kh7plvmzkwqclnepzz08zslwu,18473222
37156,terra1dpsfwhjy66mdvx8q5zg5na6es79ylrfqnskqpm,18473222
37199,terra1g4ex4nvm50qxzfzwmftrm0ksme6kzfswdyxjle,18473222
37197,terra1kjt4usuyk6lnvvxrvwmqesxpfqy86ftmxfhshk,18473222
37174,terra10u23xlhufuudeynmuvq6jm2wmky2esjkg46s86,18473222
37175,terra1g4zh6cfalwvv0zgr5v28k8xpjrwt0vlhx6uaep,18473222
37176,terra1ht8928tdys0a36k4w4eq3rgglk767pt29neyry,18473222
37177,terra1dnpgkyupnzk2adezpe0x3stre2y2ps6976epjt,18473222
37178,terra1cawa2u6mlhd9rcm9g89fflwj7d7fsm7g2fcdsl,18473222
37179,terra1hty9mmvxe5jpja6r6h3jkzvjjzww6h9ke338ur,18473222
37180,terra1k4rhke40qz7sjlnch4fwktgt7j9c6ysze300n5,18473222
37152,terra1dehf88evmddv9j33vwy047dyjyqrn0y96zmu43,18473222
37181,terra1sct3ee6kh3f6xh7swuzumvc3vd0dujegdx6e0y,18473222
37198,terra1kgluv7yl96hqjyyxftqj59vhx8aal42q7lx22l,18473222
37096,terra1klq22nlct22q96mkcgs3rsa25t0dpf2qtxujn6,18473222
37184,terra10n9njjuczzyhl7hsdq0w0gzh6w2jeuf7wr63tj,18473222
37186,terra134jkwkhcn6h4xfqpvr3ukrjw9935uwsqj2qe23,18473222
37187,terra1ychcv20nq9rq9r09xmql82yttgvk49lalxeep3,18473222
37188,terra1k34d7t32wfnkdgsevx79fak44f8zcxmtd7awmk,18473222
37189,terra1a03c2ejdpaza56hlllglyjhajt5c2gwyacpxmt,18473222
37190,terra1d6rxj0j0dn94lrn6f07sajmwhl2dwwfnnmnv9s,18473222
37191,terra17w2lt6k2y9ylra30d0mevevpyzwkkrqm9yktf7,18473222
37192,terra1hkqw9mnnv8m8agdgm4c4edccxku505xhaujzue,18473222
37193,terra195d47g8jj9z74fvxclv9ajkasfdyjsnr2f72ph,18473222
37194,terra1ywctq05syrsdg2mhzts8y6hcqw7kh5qkg70wrd,18473222
37182,terra10p2srtkg0luchr3q2cqe8ak3djt5l0fwc2dvxt,18473222
37195,terra1htym3n4h5etn5mjjkvdx4q4a0xl3gjth9qqc0e,18473222
37120,terra105kfy0mv3tkmc66z999pwhqtqvdg7jygwnr5jf,18473222
37150,terra1d0dupc4hvl4nnfky6vqp4xyeunejgsjas26xwn,18473222
37157,terra1c49xmgqd6h5zg83zxalru2edhqhy4n5jgrnnvs,18473222
37119,terra16nshldc6dnkafeqh4gl6gpl0lzrld9p7452qye,18473222
37118,terra10es5emfvdydqz6qrgjcxwhm4lknfr6pp6c42df,18473222
37116,terra1s09xg2gz3j3qllkz3xv6gjqp05y34urqzzstjf,18473222
